case_id,case_title,case_citation,parallel_cite,filed_date,not_rule36,number_of_patents,note,patent1,patent1_cpc,patent1_find_error,patent1_reverse,patent2,patent2_cpc,patent2_find_error,patent2_reverse,patent3,patent3_cpc,patent3_find_error,patent3_reverse,patent4,patent4_cpc,patent4_find_error,patent4_reverse,patent5,patent5_cpc,patent5_find_error,patent5_reverse,patent6,patent6_cpc,patent6_find_error,patent6_reverse,patent7,patent7_cpc,patent7_find_error,patent7_reverse
38,Minnesota Min. & Mfg. Co. v. International Biophysics Corp.,106 F.3d 426,1997 WL 12124,15/1/1997,1,1,,4786474,A61B5/14539,0,0,,,,,,,,,,,,,,,,,,,,,,,,
39,"Total Containment, Inc. v. Environ Products, Inc.",106 F.3d 427,1997 WL 16032,17/1/1997,1,2,,5040408,F17D5/04,0,0,5060509,B67D7/78,0,0,,,,,,,,,,,,,,,,,,,,
40,"PSC Inc. v. Accu-Sort Systems, Inc.",106 F.3d 427,1997 WL 16033,17/1/1997,1,1,,4652750,G06K7/10881,0,0,,,,,,,,,,,,,,,,,,,,,,,,
42,"McNulty v. Taser Intern., Inc.",106 Fed.Appx. 15,2004 WL 1565497,7/7/2004,1,1,,5193048,F41H13/0018,0,0,,,,,,,,,,,,,,,,,,,,,,,,
44,Wasinger v. Levi Strauss & Co.,106 Fed.Appx. 34,2004 WL 1566912,8/7/2004,1,1,,5366510,D06L1/14,1,1,,,,,,,,,,,,,,,,,,,,,,,,
45,"Alticor Inc. v. Ultra-Sun Technologies, Inc.",106 Fed.Appx. 46,2004 WL 1637921,20/7/2004,1,2,,5536395,C02F9/005,1,0,5698091,C02F9/005,1,0,,,,,,,,,,,,,,,,,,,,
46,"State of Calif. Dept. of Transp. v. Tycor Walls, Inc.",106 Fed.Appx. 709,2004 WL 1637923,15/7/2004,1,1,,6036405,E02D29/0216,0,0,,,,,,,,,,,,,,,,,,,,,,,,
48,"Lockwood v. American Airlines, Inc.",107 F.3d 1565,65 USLW 2632,4/3/1997,1,2,,RE32115,,0,0,5309355,G07F17/16,0,0,,,,,,,,,,,,,,,,,,,,
49,"Dana Innovations v. Speakercraft, Inc.",107 F.3d 30,1996 WL 748250,2/12/1996,1,2,,5292092,H04R1/025,1,1,5299766,H04R1/025,1,1,,,,,,,,,,,,,,,,,,,,
52,Elster Electricity LLC v. Schlumbergersema Inc.,107 Fed.Appx. 914,2004 WL 1799400,30/7/2004,1,1,,5457621,G01R21/133,1,0,,,,,,,,,,,,,,,,,,,,,,,,
53,"Genentech, Inc. v. Novo Nordisk A/S",108 F.3d 1361,42 U.S.P.Q.2d 1001,13/3/1997,1,1,,5424199,C12N15/66,1,1,,,,,,,,,,,,,,,,,,,,,,,,
54,"Instance v. On Serts Systems, Inc.",108 F.3d 1392,1997 WL 78563,21/2/1997,1,1,,4860080,H01L29/1095,0,0,,,,,,,,,,,,,,,,,,,,,,,,
55,"International Communication Materials, Inc. v. Ricoh Co., Ltd.",108 F.3d 316,41 U.S.P.Q.2d 1957,4/3/1997,1,2,,4611730,G03G15/0868,0,0,4878603,G03G15/0872,0,0,,,,,,,,,,,,,,,,,,,,
60,"Trilogy Communications, Inc. v. Times Fiber Communications, Inc.",109 F.3d 739,37 Fed.R.Serv.3d 525,20/3/1997,1,2,,3576846,,0,0,3693250,,0,0,,,,,,,,,,,,,,,,,,,,
61,"Hoechst-Roussel Pharmaceuticals, Inc. v. Lehman",109 F.3d 756,65 USLW 2680,28/3/1997,1,1,,4631286,C07D409/12,0,0,,,,,,,,,,,,,,,,,,,,,,,,
62,"Fisher-Price, Inc. v. Safety 1st, Inc.",109 Fed.Appx. 387,2004 WL 1946482,16/8/2004,1,1,,5947552,A47D9/005,0,0,,,,,,,,,,,,,,,,,,,,,,,,
63,"Utica Enterprises, Inc. v. Federal Broach and Machine Co.",109 Fed.Appx. 403,2004 WL 1946489,19/8/2004,1,1,,6256857,B26F1/02,1,1,,,,,,,,,,,,,,,,,,,,,,,,
64,"Lifestream Diagnostics, Inc. v. Polymer Technology Systems, Inc.",109 Fed.Appx. 411,2004 WL 1946490,25/8/2004,1,1,,5135716,B01L3/5023,1,1,,,,,,,,,,,,,,,,,,,,,,,,
65,"Glaxo, Inc. v. Novopharm, Ltd.",110 F.3d 1562,42 U.S.P.Q.2d 1257,4/4/1997,1,2,,4521431,C07D307/52,0,0,4672133,C07D307/52,0,0,,,,,,,,,,,,,,,,,,,,
67,"NeoMagic Corp. v. Trident Microsystems, Inc.",110 Fed.Appx. 103,2004 WL 1799404,5/8/2004,1,1,,5703806,G06F3/153,0,0,,,,,,,,,,,,,,,,,,,,,,,,
68,"Dana Corp. v. American Axle & Mfg., Inc.",110 Fed.Appx. 871,2004 WL 2030125,27/8/2004,1,2,,5637042,F16C3/023,1,1,5643093,F16C3/02,1,1,,,,,,,,,,,,,,,,,,,,
72,"Ad-In-Hole, Intern., Inc. v. Hageman",111 F.3d 143,1997 WL 154003,2/4/1997,1,1,,4928417,A63B57/40,0,0,,,,,,,,,,,,,,,,,,,,,,,,
73,Serrano v. Telular Corp.,111 F.3d 1578,42 U.S.P.Q.2d 1538,25/4/1997,1,2,,4775997,H04W88/021,0,0,4922517,H04W88/02,0,0,,,,,,,,,,,,,,,,,,,,
74,"Aspex Eyewear, Inc. v. Concepts In Optics, Inc.",111 Fed.Appx. 582,2004 WL 1946485,12/8/2004,1,1,,RE37545,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
75,"Zimmer, Inc. v. Howmedica Osteonics Corp.",111 Fed.Appx. 593,2004 WL 1194248,26/5/2004,1,1,,5290313,A61F2/389,1,1,,,,,,,,,,,,,,,,,,,,,,,,
76,"Young Dental Mfg. Co., Inc. v. Q3 Special Products, Inc.",112 F.3d 1137,37 Fed.R.Serv.3d 861,29/4/1997,1,2,,5156547,A61C17/005,0,0,5423679,A61C17/005,0,0,,,,,,,,,,,,,,,,,,,,
77,"CVI/Beta Ventures, Inc. v. Tura LP",112 F.3d 1146,42 U.S.P.Q.2d 1577,1/5/1997,1,2,,4772112,G02C1/08,1,1,4896955,G02C1/02,1,1,,,,,,,,,,,,,,,,,,,,
81,"Ghaly v. Hasbro, Inc.",112 Fed.Appx. 7,2004 WL 2245225,29/9/2004,1,1,,5286037,A63F9/24,0,0,,,,,,,,,,,,,,,,,,,,,,,,
82,"Target Therapeutics, Inc. v. Cordis Endovascular Systems, Inc.",113 F.3d 1256,1997 WL 218760,2/5/1997,1,1,,4739768,A61M25/09,1,1,,,,,,,,,,,,,,,,,,,,,,,,
87,"Slip Track Systems, Inc. v. Metal Lite, Inc.",113 Fed.Appx. 930,2004 WL 2724084,1/12/2004,1,1,Judge Pauline Newman held a dissenting opinion with respect to claim construction.,5127760,E04B2/825,1,1,,,,,,,,,,,,,,,,,,,,,,,,
88,Harris Corp. v. IXYS Corp.,114 F.3d 1149,43 U.S.P.Q.2d 1018,10/6/1997,1,1,,4364073,H01L29/7397,1,1,,,,,,,,,,,,,,,,,,,,,,,,
90,McCreary v. U.S.,114 F.3d 1206,1997 WL 274314,27/5/1997,1,1,,3532179,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
91,"Johnstown America Corp. v. Trinity Industries, Inc.",114 F.3d 1206,1997 WL 291956,28/5/1997,1,1,,4361097,B61D9/00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
92,Eastman Kodak Co. v. Goodyear Tire & Rubber Co.,114 F.3d 1547,"1997-1 Trade Cases P 71,824",20/5/1997,1,1,,4064112,C08G63/80,0,0,,,,,,,,,,,,,,,,,,,,,,,,
93,"O.I. Corp. v. Tekmar Co., Inc.",115 F.3d 1576,42 U.S.P.Q.2d 1777,22/5/1997,1,2,,5358557,G01N30/14,1,0,5470380,G01N30/14,1,0,,,,,,,,,,,,,,,,,,,,
96,"Catalina Marketing Intern., Inc. v. Coolsavings.com, Inc.",115 Fed.Appx. 84,2004 WL 2633316,19/11/2004,1,1,,4674041,G06Q30/02,0,0,,,,,,,,,,,,,,,,,,,,,,,,
99,"Angres, Ltd. v. Tinny Beauty and Figure, Inc.",116 F.3d 1497,1997 WL 355479,26/6/1997,1,1,,4507106,F16H9/24,0,0,,,,,,,,,,,,,,,,,,,,,,,,
100,"Odetics, Inc. v. Storage Technology Corp.",116 F.3d 1497,1997 WL 357598,25/6/1997,1,1,,4779151,G11B27/002,1,1,,,,,,,,,,,,,,,,,,,,,,,,
102,"Budde v. Harley-Davidson, Inc.",116 Fed.Appx. 270,2004 WL 2288149,5/10/2004,1,1,,4955348,F02M35/10308,0,0,,,,,,,,,,,,,,,,,,,,,,,,
104,"F.B. Leopold Co., Inc. v. Roberts Filter Mfg. Co., Inc.",119 F.3d 15,"1997-2 Trade Cases P 71,869",2/7/1997,1,2,,5149427,B01D24/24,0,0,5232592,B01D24/24,0,0,,,,,,,,,,,,,,,,,,,,
105,Regents of the University of California v. Eli Lilly & Co.,119 F.3d 1559,43 U.S.P.Q.2d 1398,22/7/1997,1,1,,4431740,C12N15/00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
106,"Energy Absorption Systems, Inc. v. Roadway Safety Services, Inc.",119 F.3d 16,1997 WL 368379,3/7/1997,1,1,,4289419,E01F15/146,1,0,,,,,,,,,,,,,,,,,,,,,,,,
108,"Foster v. Hallco Mfg. Co., Inc.",119 F.3d 16,1997 WL 419391,14/7/1997,1,1,,RE35022,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
109,Moll v. Northern Telecom Inc.,119 F.3d 17,1997 WL 394241,15/7/1997,1,1,,4280192,G10L19/00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
111,Oiestad v. AG-Industrial Equipment Co.,119 F.3d 17,44 U.S.P.Q.2d 1526,22/7/1997,1,1,,4821486,B65B11/04,0,0,,,,,,,,,,,,,,,,,,,,,,,,
113,"Semitool, Inc. v. Novellus Systems, Inc.",12 Fed.Appx. 918,2001 WL 638452,8/6/2001,1,2,,5222310,H01L21/68728,1,0,5337708,F02D33/003,1,0,,,,,,,,,,,,,,,,,,,,
114,"Unique Coupons, Inc. v. Northfield Corp.",12 Fed.Appx. 928,2001 WL 665365,13/6/2001,1,2,,5079901,B65B61/20,1,1,5588280,B65B61/20,1,1,,,,,,,,,,,,,,,,,,,,
118,Pieczenik v. Dyax Corp.,120 Fed.Appx. 310,2004 WL 2912856,16/12/2004,1,3,,4359535,C12N15/102,0,0,4528266,C12N15/10,0,0,5866363,A61K38/17,0,0,,,,,,,,,,,,,,,,
120,"NCR Corp. v. Palm, Inc.",120 Fed.Appx. 328,2005 WL 23378,6/1/2005,1,2,,4634845,G07F7/1008,0,0,4689478,G07F7/1008,0,0,,,,,,,,,,,,,,,,,,,,
123,"Thermalloy, Inc. v. Aavid Engineering, Inc.",121 F.3d 691,43 U.S.P.Q.2d 1846,22/8/1997,1,1,,4884331,F28F3/02,1,0,,,,,,,,,,,,,,,,,,,,,,,,
124,"MHB Industries Corp. v. Garberg & Associates, Inc",121 F.3d 726,1997 WL 423021,29/7/1997,1,1,,5467578,B65B43/18,0,0,,,,,,,,,,,,,,,,,,,,,,,,
126,"Johansson v. Rose Displays Ltd., Inc.",121 F.3d 727,1997 WL 437016,5/8/1997,1,1,,4679340,A47G25/1428,1,1,,,,,,,,,,,,,,,,,,,,,,,,
127,"Cedarapids, Inc. v. Nordberg, Inc.",121 F.3d 727,1997 WL 452801,11/8/1997,1,1,,4697745,B02C2/04,0,0,,,,,,,,,,,,,,,,,,,,,,,,
128,"Monroe Engineering Products, Inc. v. Winco, Inc.",121 F.3d 728,1997 WL 459769,13/8/1997,1,1,,4598614,G05G1/12,0,0,,,,,,,,,,,,,,,,,,,,,,,,
129,"Transco Products, Inc. v. Performance Contracting, Inc.",121 F.3d 728,1997 WL 459771,13/8/1997,1,1,,4009735,F16L59/022,0,0,,,,,,,,,,,,,,,,,,,,,,,,
131,"Anheuser-Busch Companies, Inc. v. Crown Cork & Seal Technologies Corp.",121 Fed.Appx. 388,2004 WL 2980491,23/12/2004,1,1,,6065634,B65D7/36,1,1,,,,,,,,,,,,,,,,,,,,,,,,
133,"Endress + Hauser, Inc. v. Hawk Measurement Systems Pty. Ltd.",122 F.3d 1040,43 U.S.P.Q.2d 1849,21/8/1997,1,1,,4000650,G01F23/2962,0,0,,,,,,,,,,,,,,,,,,,,,,,,
135,"Wright Medical Technology, Inc. v. Osteonics Corp.",122 F.3d 1440,43 U.S.P.Q.2d 1837,27/8/1997,1,1,,4474177,A61B17/1675,1,1,,,,,,,,,,,,,,,,,,,,,,,,
138,"IEX Corp. v. Blue Pumpkin Software, Inc.",122 Fed.Appx. 458,2005 WL 236572,2/2/2005,1,1,,6044355,H04M3/5233,1,1,,,,,,,,,,,,,,,,,,,,,,,,
139,"Hewlett-Packard Co. v. Repeat-O-Type Stencil Mfg. Corp., Inc.",123 F.3d 1445,43 U.S.P.Q.2d 1650,12/8/1997,1,2,,4827294,B41J25/34,1,0,4931811,B41J2/19,1,0,,,,,,,,,,,,,,,,,,,,
141,"Alltrade Tools, LLC v. Olympia Group, Inc.",123 Fed.Appx. 394,2005 WL 289959,8/2/2005,1,1,,6257553,B66F15/00,1,0,,,,,,,,,,,,,,,,,,,,,,,,
146,"Jack Frost Laboratories, Inc. v. Physicians & Nurses Mfg. Corp.",124 F.3d 229,1997 WL 592814,23/9/1997,1,2,,4756311,A61F7/02,0,0,4920964,A61F7/02,0,0,,,,,,,,,,,,,,,,,,,,
147,"Iowa State University Research Foundation, Inc. v. Wiley Organics, Inc.",125 Fed.Appx. 291,2005 WL 517296,7/3/2005,1,1,,5348979,A61K31/22,1,1,,,,,,,,,,,,,,,,,,,,,,,,
150,"Strattec Sec. Corp. v. General Automotive Specialty Co., Inc.",126 F.3d 1411,44 U.S.P.Q.2d 1030,16/9/1997,1,1,,4250482,H01C1/034,1,1,,,,,,,,,,,,,,,,,,,,,,,,
154,"Ultradent Products, Inc. v. Life-Like Cosmetics, Inc.",127 F.3d 1065,44 U.S.P.Q.2d 1336,10/10/1997,1,3,,5098303,A61K8/8147,1,1,5234342,A61C19/063,1,1,5376006,A61C19/063,0,0,,,,,,,,,,,,,,,,
155,"Kegel Co., Inc. v. AMF Bowling, Inc.",127 F.3d 1420,44 U.S.P.Q.2d 1123,17/9/1997,1,1,,5191290,G01V3/20,0,0,,,,,,,,,,,,,,,,,,,,,,,,
157,"Outlast Technologies, Inc. v. Frisby Technologies, Inc.",128 Fed.Appx. 122,2005 WL 712452,30/3/2005,1,1,,5366801,F28D20/023,1,1,,,,,,,,,,,,,,,,,,,,,,,,
159,"Bloom Engineering Co., Inc. v. North American Mfg. Co., Inc.",129 F.3d 1247,44 U.S.P.Q.2d 1859,21/11/1997,1,1,,4828483,F23C6/045,0,0,,,,,,,,,,,,,,,,,,,,,,,,
165,"Sunny Fresh Foods, Inc. v. Michael Foods, Inc.",130 Fed.Appx. 459,2005 WL 858015,15/4/2005,1,4,,4808425,A23B5/0055,0,0,4957759,A23B5/0055,0,0,5994291,C07C29/141,0,0,RE37225,,0,0,,,,,,,,,,,,
168,"Fromson v. Anitec Printing Plates, Inc.",132 F.3d 1437,45 U.S.P.Q.2d 1269,30/12/1997,1,1,,RE29754,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
172,Bell & Howell Document Management Products Co. v. Altek Systems,132 F.3d 701,45 U.S.P.Q.2d 1033,5/12/1997,1,2,,4452666,B32B3/30,1,1,4523401,G03D15/10,1,1,,,,,,,,,,,,,,,,,,,,
174,"Phonometrics, Inc. v. Northern Telecom Inc.",133 F.3d 1459,45 U.S.P.Q.2d 1421,15/1/1998,1,1,,3769463,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
175,"Multiform Desiccants, Inc. v. Medzam, Ltd.",133 F.3d 1473,45 U.S.P.Q.2d 1429,15/1/1998,1,1,,4853266,B65D81/264,0,0,,,,,,,,,,,,,,,,,,,,,,,,
177,"Canon Computer Systems, Inc. v. Nu-Kote Intern., Inc.",134 F.3d 1085,45 U.S.P.Q.2d 1355,8/1/1998,1,1,,5509140,B41J2/17523,0,0,,,,,,,,,,,,,,,,,,,,,,,,
178,"Gentry Gallery, Inc. v. Berkline Corp.",134 F.3d 1473,45 U.S.P.Q.2d 1498,27/1/1998,1,1,,5064244,A47C1/0352,1,0,,,,,,,,,,,,,,,,,,,,,,,,
179,"Janssen Pharmaceutica, N.V. v. Eon Labs Mfg., Inc.",134 Fed.Appx. 425,2005 WL 1384230,13/6/2005,1,1,,5633015,A61K9/5078,0,0,,,,,,,,,,,,,,,,,,,,,,,,
181,Kahn v. General Motors Corp.,135 F.3d 1472,45 U.S.P.Q.2d 1608,3/2/1998,1,1,,4018994,H04H20/49,1,1,,,,,,,,,,,,,,,,,,,,,,,,
184,"High Tech Medical Instrumentation, Inc. v. New Image Industries, Inc.",135 F.3d 774,1997 WL 787052,24/12/1997,1,1,,4858001,A61B1/00183,1,1,,,,,,,,,,,,,,,,,,,,,,,,
185,"Kamyr, Inc. v. Clement",135 F.3d 775,1998 WL 15223,12/1/1998,1,1,,4780179,D21B1/325,1,1,,,,,,,,,,,,,,,,,,,,,,,,
186,"Bailey v. Dunkin Donuts, Inc.",135 F.3d 775,45 U.S.P.Q.2d 1683,8/1/1998,1,2,,4322015,B65D43/0268,0,0,4473167,B65D47/0847,0,0,,,,,,,,,,,,,,,,,,,,
187,"Brand Management, Inc. v. Menard, Inc.",135 F.3d 776,1998 WL 15241,14/1/1998,1,2,,4742642,A01M21/043,0,0,5163967,E02D27/02,0,0,,,,,,,,,,,,,,,,,,,,
190,"Storz Instrument Co. v. Alcon Laboratories, Inc.",135 F.3d 777,1998 WL 50947,26/1/1998,1,1,,5455766,A61B17/32,1,1,,,,,,,,,,,,,,,,,,,,,,,,
194,"Mattox v. Infotopia, Inc.",136 Fed.Appx. 366,2005 WL 1220506,23/5/2005,1,1,,5499961,A63B21/0552,1,1,,,,,,,,,,,,,,,,,,,,,,,,
196,"Owen Mumford USA, Inc. v. Surgilance, Inc.",137 Fed.Appx. 342,2005 WL 1330918,7/6/2005,1,1,Judge Mayer dissented,4869249,A61B5/150022,1,1,,,,,,,,,,,,,,,,,,,,,,,,
197,"Cybor Corp. v. FAS Technologies, Inc.",138 F.3d 1448,46 U.S.P.Q.2d 1169,25/3/1998,1,1,,5167837,F04B43/067,0,0,,,,,,,,,,,,,,,,,,,,,,,,
199,"Lockformer Co. v. PPG Industries, Inc.",138 Fed.Appx. 314,2005 WL 1529928,30/6/2005,1,1,,5177916,E06B3/67304,0,0,,,,,,,,,,,,,,,,,,,,,,,,
201,"Litton Systems, Inc. v. Honeywell, Inc.",140 F.3d 1449,46 U.S.P.Q.2d 1321,7/4/1998,1,1,Judge Newman dissented,RE32849,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
202,Izumi Products Co. v. Koninklijke Philips Electronics N.V.,140 Fed.Appx. 236,2005 WL 1606952,7/7/2005,1,1,Judge Linn held a dissenting opinion with respect to claim construction.,5408749,B26B19/141,1,0,,,,,,,,,,,,,,,,,,,,,,,,
207,"Landers v. Sideways, LLC",142 Fed.Appx. 462,2005 WL 1772692,27/7/2005,1,3,,5413184,E21B7/061,0,0,5853056,E21B7/061,1,0,6125949,F16C1/04,1,0,,,,,,,,,,,,,,,,
209,"Laitram Corp. v. Morehouse Industries, Inc.",143 F.3d 1456,46 U.S.P.Q.2d 1609,5/5/1998,1,2,,4934518,B65G17/08,0,0,4886158,B65G17/08,0,0,,,,,,,,,,,,,,,,,,,,
210,"Transonic Systems, Inc. v. Non-Invasive Medical Technologies Corp.",143 Fed.Appx. 320,2005 WL 1723214,25/7/2005,1,1,,5685989,A61M1/3653,1,1,,,,,,,,,,,,,,,,,,,,,,,,
211,"Beckson Marine, Inc. v. NFM, Inc.",144 Fed.Appx. 862,2005 WL 1787675,28/7/2005,1,1,,4363350,E06B1/26,1,1,,,,,,,,,,,,,,,,,,,,,,,,
212,"Chiuminatta Concrete Concepts, Inc. v. Cardinal Industries, Inc.",145 F.3d 1303,46 U.S.P.Q.2d 1752,14/5/1998,1,2,,5056499,B28B11/0863,1,1,4889675,B27B9/00,0,0,,,,,,,,,,,,,,,,,,,,
214,"Ocean Innovations, Inc. v. Archer",145 Fed.Appx. 366,2005 WL 1995092,19/8/2005,1,1,,5682833,B63C1/02,1,1,,,,,,,,,,,,,,,,,,,,,,,,
218,"Engineered Products Co. v. Donaldson Co., Inc.",147 Fed.Appx. 979,2005 WL 2090662,31/8/2005,1,1,,4445456,B01D46/0086,1,1,,,,,,,,,,,,,,,,,,,,,,,,
221,"Digital Biometrics, Inc. v. Identix, Inc.",149 F.3d 1335,47 U.S.P.Q.2d 1418,2/7/1998,1,1,,4933976,G07C9/37,0,0,,,,,,,,,,,,,,,,,,,,,,,,
223,"Applied Concepts, Inc. v. Olympia Indus., Inc.",15 Fed.Appx. 793,2001 WL 772030,10/7/2001,1,1,,4651598,B25B7/12,1,1,,,,,,,,,,,,,,,,,,,,,,,,
224,"Newell Window Furnishings, Inc. v. Springs Window Fashions Division, Inc.",15 Fed.Appx. 836,2001 WL 744460,2/7/2001,1,2,,5701940,E06B9/262,0,0,5692550,E06B9/323,0,0,,,,,,,,,,,,,,,,,,,,
226,"Avery Dennison Corp. v. Flexcon Co., Inc.",15 Fed.Appx. 882,2001 WL 811834,18/7/2001,1,3,,4713273,B32B27/08,0,0,4946532,B32B27/08,0,0,5372669,B32B27/08,0,0,,,,,,,,,,,,,,,,
233,"World Kitchen (GHC), LLC v. Zyliss Haushaltwaren AG",151 Fed.Appx. 970,2005 WL 2596866,14/10/2005,1,1,,6018883,A47J43/24,0,0,,,,,,,,,,,,,,,,,,,,,,,,
234,"Johns Hopkins University v. CellPro, Inc.",152 F.3d 1342,47 U.S.P.Q.2d 1705,11/8/1998,1,2,,4714680,A61K35/28,0,0,4965204,C07K16/28,0,0,,,,,,,,,,,,,,,,,,,,
235,"Mantech Environmental Corp. v. Hudson Environmental Services, Inc.",152 F.3d 1368,47 U.S.P.Q.2d 1732,13/8/1998,1,2,,5286141,C02F1/722,1,1,5520483,C02F1/722,1,1,,,,,,,,,,,,,,,,,,,,
238,"Lee's Aquarium & Pet Products, Inc. v. Python Products, Inc.",152 F.3d 945,1998 WL 129903,24/3/1998,1,1,,4610784,A01K63/04,0,0,,,,,,,,,,,,,,,,,,,,,,,,
241,"Technical Chemicals & Products, Inc. v. Home Diagnostics, Inc.",152 F.3d 947,1998 WL 163650,9/4/1998,1,2,,4744192,E04B1/2612,1,1,4877580,G01N21/78,1,1,,,,,,,,,,,,,,,,,,,,
242,"Springfield Company, Inc. v. Staubli Corp.",152 F.3d 948,1998 WL 180493,17/4/1998,1,1,,5222527,D03C1/144,0,0,,,,,,,,,,,,,,,,,,,,,,,,
